,Date,Slot,Final Product,Quantity Produced,Crude Tapis Available,Crude Minas Available,Crude Sepat Available,Crude Kimanis Available,Crude KIMC Available,Crude Bintulu Available,Crude Tapis Blended,Crude Minas Blended,Crude Sepat Blended,Crude Kimanis Blended,Crude KIMC Blended,Crude Bintulu Blended,Inventory Available,Ullage,Profit,Flag
0,2025-10-01,1,F3,70.0,464.6,0.0,149.3,350.0,0.0,433.0,49.3,0.0,20.6,0.0,0.0,0.0,1397.0,103.0,1011216.4999999997,Optimization
1,2025-10-02,1,F3,70.0,415.3,0.0,128.7,350.0,0.0,433.0,49.4,0.0,20.6,0.0,0.0,0.0,1327.0,173.0,1011216.5,Optimization
2,2025-10-03,1,F3,70.0,365.9,0.0,108.0,350.0,0.0,433.0,49.4,0.0,20.7,0.0,0.0,0.0,1257.0,243.0,1011216.5000000002,Optimization
3,2025-10-04,1,F3,70.0,316.6,0.0,87.4,350.0,0.0,433.0,49.4,0.0,20.6,0.0,0.0,0.0,1187.0,313.0,1011216.5,Optimization
4,2025-10-05,1,F3,70.0,267.2,0.0,66.8,350.0,0.0,433.0,49.4,0.0,20.7,0.0,0.0,0.0,1117.0,383.0,1011216.5000000002,Optimization
5,2025-10-06,1,F3,70.0,217.9,0.0,46.1,350.0,0.0,433.0,49.4,0.0,20.7,0.0,0.0,0.0,1047.0,453.0,1011216.5000000002,Optimization
6,2025-10-07,1,F3,86.3,157.1,0.0,20.6,350.0,0.0,433.0,60.8,0.0,25.4,0.0,0.0,0.0,960.7,539.3,1246269.2457627119,Optimization
7,2025-10-08,1,F3,70.0,107.7,0.0,0.0,350.0,0.0,433.0,49.4,0.0,20.6,0.0,0.0,0.0,890.7,609.3,1011216.5,Optimization
8,2025-10-09,1,F7,96.0,107.7,0.0,0.0,273.8,0.0,413.2,0.0,0.0,0.0,76.2,0.0,19.8,794.7,705.3,801866.8799999999,Optimization
9,2025-10-10,1,F7,96.0,107.7,0.0,0.0,197.6,0.0,393.4,0.0,0.0,0.0,76.2,0.0,19.8,698.7,471.3,801866.8799999999,Optimization
10,2025-10-11,1,F7,70.0,107.7,0.0,0.0,142.0,0.0,379.0,0.0,0.0,0.0,55.6,0.0,14.4,628.7,541.3,584694.6,Optimization
11,2025-10-12,1,F7,96.0,107.7,0.0,0.0,65.7,0.0,359.3,0.0,0.0,0.0,76.2,0.0,19.8,532.7,637.3,801866.8799999999,Optimization
12,2025-10-13,1,F7,76.6,107.7,0.0,0.0,4.9,0.0,343.5,0.0,0.0,0.0,60.8,0.0,15.8,456.2,328.8,639600.7597563466,Optimization
13,2025-10-14,1,F7,96.0,107.7,0.0,0.0,178.7,80.0,323.7,0.0,0.0,0.0,76.2,0.0,19.8,690.2,424.8,801866.8799999999,Optimization
