Day,Strategy,Blend_Index,Processed,Crude_Usage,Remaining,Tank_Levels
1,standard,3,96.0,"{'B': 57.599999999999994, 'D': 38.400000000000006}","{'Base': 500.0, 'B': 242.4, 'C': 300.0, 'D': 161.6, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
2,standard,3,96.0,"{'B': 57.599999999999994, 'D': 38.400000000000006}","{'Base': 500.0, 'B': 184.8, 'C': 300.0, 'D': 123.19999999999999, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
3,standard,3,96.0,"{'B': 57.599999999999994, 'D': 38.400000000000006}","{'Base': 500.0, 'B': 127.20000000000002, 'C': 300.0, 'D': 84.79999999999998, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
4,standard,3,96.0,"{'B': 57.599999999999994, 'D': 38.400000000000006}","{'Base': 500.0, 'B': 69.60000000000002, 'C': 300.0, 'D': 46.39999999999998, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
5,standard,3,96.0,"{'B': 57.599999999999994, 'D': 38.400000000000006}","{'Base': 500.0, 'B': 12.000000000000028, 'C': 300.0, 'D': 7.999999999999972, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
6,standard,4,95.0,"{'C': 25.650000000000002, 'Base': 69.35}","{'Base': 430.65, 'B': 12.000000000000028, 'C': 274.35, 'D': 7.999999999999972, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
7,standard,4,95.0,"{'C': 25.650000000000002, 'Base': 69.35}","{'Base': 361.29999999999995, 'B': 12.000000000000028, 'C': 248.70000000000002, 'D': 7.999999999999972, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
8,standard,4,95.0,"{'C': 25.650000000000002, 'Base': 69.35}","{'Base': 291.94999999999993, 'B': 12.000000000000028, 'C': 223.05, 'D': 7.999999999999972, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
9,standard,4,95.0,"{'C': 25.650000000000002, 'Base': 69.35}","{'Base': 222.59999999999994, 'B': 12.000000000000028, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
10,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 952.5199999999999, 'B': 12.000000000000028, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 274.08}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
11,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 882.4399999999998, 'B': 12.000000000000028, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 248.15999999999997}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
12,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 812.3599999999998, 'B': 12.000000000000028, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 222.23999999999995}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
13,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 742.2799999999997, 'B': 12.000000000000028, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 196.31999999999994}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
14,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 672.1999999999997, 'B': 12.000000000000028, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 170.39999999999992}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
15,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 602.1199999999997, 'B': 12.000000000000028, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 144.4799999999999}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
16,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 532.0399999999996, 'B': 12.000000000000028, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 118.5599999999999}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
17,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 461.95999999999964, 'B': 312.0, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 92.6399999999999}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
18,standard,1,96.0,"{'A': 25.92, 'Base': 70.08}","{'Base': 391.87999999999965, 'B': 312.0, 'C': 197.4, 'D': 7.999999999999972, 'F': 500.0, 'A': 66.7199999999999}","{'T1': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T2': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T3': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T4': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}, 'T5': {'crude': None, 'level': 0.0, 'capacity': 250.0, 'available_space': 250.0, 'composition': {}}}"
